SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SEX_CODE_CD,RACE_CODE_CD,WEAPON_I,DRUG_I,AGE_GROUP,AGE_TO,STOP_ORDER_NO,PAROLEE_I,LATEST_DATE,LATEST_DIST,MAJORITY_DIST,DLST,LATEST_DIST_RES,WEAPONS_ARR_CNT,LATEST_WEAPON_ARR_DATE,NARCOTICS_ARR_CNT,LATEST_NARCOTIC_ARR_DATE,IDOC_RES_CITY,IDOC_RES_STATE_CODE,IDOC_RES_ZIP_CODE,IDOC_CPD_DIST,CPD_ARREST_I,DOMESTIC_ARR_CNT,LATEST_DOMESTIC_ARR_DATE,AGE_CURR,SSL_LAST_PTV_DATE,TRAP_STATUS,RAW_SSL_SCORE,HEAT_SCORE,RAW_HEAT_SCORE,STATUS_I,PRE_RAW_HEAT_SCORE,TRAP_FLAGS,SSL_FLAGS,LATITUDE,LONGITUDE,CENSUS_TRACT,COMMUNITY_AREA,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards
500,20-30,2,3,2,1,2,0,1,M,WWH,Y,Y,20-30,20-30,,,2015,14,14,IL,14,1,2015,1,2014,,,,,Y,2,2016,20-30,2016,,0.13395,500,0.13395,Y,13395,14,14,41.91570821,-87.69959686,17031222500,LOGAN SQUARE,"(41.915708, -87.699597)",23,22535,1,350,41
500,less than 20,1,0,7,1,1,-1.2,0,M,BLK,Y,N,less than 20,less than 20,,,2016,4,4,,6,1,2016,,,,,,,Y,,,less than 20,2016,,0.13364,500,0.13364,Y,13364,,,41.75530113,-87.57118434,17031431200,SOUTH SHORE,"(41.755301, -87.571184)",39,22538,24,420,35
500,less than 20,1,2,3,1,3,-0.8,1,M,BLK,Y,N,less than 20,less than 20,,,2016,8,8,,7,1,2014,,,,,,,Y,,,less than 20,2015,,0.13687,500,0.13687,Y,13687,,8,41.77728716,-87.69334058,17031660600,CHICAGO LAWN,"(41.777287, -87.693341)",64,21867,58,319,31
500,less than 20,2,1,1,1,2,0,0,M,BLK,N,Y,less than 20,less than 20,,,2015,11,11,,11,,,2,2015,,,,,Y,,,less than 20,2016,,0.12845,500,0.12845,Y,12845,,,41.87161905,-87.70555241,17031837300,EAST GARFIELD PARK,"(41.871619, -87.705552)",28,21184,28,36,14
500,less than 20,0,0,3,1,1,-0.4,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,4,4,,4,1,2013,1,2016,CHICAGO,IL,60608,,Y,,,less than 20,2012,3,0.13628,500,0.13628,Y,13628,,4,41.74708409,-87.5573879,17031460302,SOUTH CHICAGO,"(41.747084, -87.557388)",42,21202,25,244,37
500,20-30,0,0,4,1,0,2.2,3,M,BLK,Y,N,20-30,20-30,,,2016,3,6,IL,6,4,2016,,,CHICAGO,IL,60620,,Y,1,2010,20-30,,,0.12957,500,0.12957,Y,12957,6,6,41.77669145,-87.61069325,17031420700,WOODLAWN,"(41.776691, -87.610693)",9,22260,60,332,4
500,20-30,0,7,1,0,0,0.7,0,M,BLK,N,N,20-30,20-30,,,2015,11,11,IL,11,,,,,,,,,Y,1,2015,20-30,,,0.13486,500,0.13486,Y,13486,,,41.89170403,-87.70217471,17031836700,HUMBOLDT PARK,"(41.891704, -87.702175)",24,21184,28,177,46
500,20-30,0,0,2,1,6,0.2,1,M,BLK,Y,Y,less than 20,less than 20,,,2016,8,8,IL,8,1,2012,1,2016,,,,,Y,,,less than 20,,,0.12705,500,0.12705,Y,12705,,8,41.77728716,-87.69334058,17031660600,CHICAGO LAWN,"(41.777287, -87.693341)",64,21867,58,319,31
500,less than 20,1,1,5,1,1,-4.1,1,M,BLK,Y,N,less than 20,less than 20,,,2015,6,3,,2,1,2011,,,,,,,Y,,,less than 20,2014,,0.13756,500,0.13756,Y,13756,,3,41.7486271,-87.60145119,17031440101,CHATHAM,"(41.748627, -87.601451)",40,21546,61,247,35
500,less than 20,2,2,3,1,2,1.3,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,7,7,,7,2,2015,1,2015,,,,,Y,,,less than 20,2015,,0.12836,500,0.12836,Y,12836,,7,41.7739016,-87.67134933,17031671300,WEST ENGLEWOOD,"(41.773902, -87.671349)",65,22257,23,281,3
500,less than 20,0,0,4,1,2,-0.9,0,M,BLK,N,N,less than 20,less than 20,,,2015,8,8,,6,,,,,,,,,Y,,,less than 20,,,0.13017,500,0.13017,Y,13017,,8,41.77728716,-87.69334058,17031660600,CHICAGO LAWN,"(41.777287, -87.693341)",64,21867,58,319,31
500,less than 20,1,2,4,0,2,-0.2,1,M,BLK,Y,Y,less than 20,less than 20,,,2015,15,15,,15,1,2014,1,2014,,,,,Y,,,less than 20,2016,,0.12846,500,0.12846,Y,12846,,,41.89862482,-87.75201117,17031251100,AUSTIN,"(41.898625, -87.752011)",26,4299,5,585,45
500,less than 20,2,1,0,0,0,-1,0,F,BLK,N,N,less than 20,less than 20,,,2013,4,4,,4,,,,,,,,,Y,,,20-30,2014,,0.12865,500,0.12865,Y,12865,,,41.75353017,-87.56018712,17031431301,SOUTH SHORE,"(41.75353, -87.560187)",39,22538,24,246,37
